                                                 INSTNM    OPEID  REGION  SAT_AVG_ALL  PCTPELL  PCTFLOAN  ADM_RATE_ALL       UG  AVGFACSAL   COMPL_RPY_5YR_RT           DEBT_MDN  MEDIAN_HH_INC  \
0                              Alabama A & M University   100200       5        850.0    0.725     0.816         0.654   4380.0     7017.0        0.477631579              14600       49720.22   
1                   University of Alabama at Birmingham   105200       5       1147.0    0.350     0.522         0.604  10331.0    10221.0        0.673230442              14250       55735.22   
2                   University of Alabama in Huntsville   105500       5       1221.0    0.318     0.459         0.812   5220.0     9514.0        0.762222222              15000       58688.62   
3                              Alabama State University   100500       5        844.0    0.757     0.769         0.464   4348.0     7940.0         0.43006993              15274       46065.20   
4                             The University of Alabama   105100       5       1181.0    0.201     0.406         0.536  15318.0     9710.0         0.75203252              17500       57928.41   
5                       Auburn University at Montgomery   831000       5        990.0    0.437     0.558         0.787   4098.0     7588.0        0.714932127              10250       50723.81   
6                                     Auburn University   100900       5       1218.0    0.163     0.347         0.777  18326.0     9738.0        0.829545455              17500       59005.40   
7                           Birmingham Southern College   101200       5       1167.0    0.199     0.463         0.531   1395.0     7078.0  PrivacySuppressed              19500       64789.39   
8                                   Faulkner University   100300       5        985.0    0.560     0.711         0.573    612.0     5973.0            0.53125              13750       52330.99   
9                                    Huntingdon College   101900       5        992.0    0.421     0.686         0.577    657.0     5911.0               0.75              16668       54037.99   
10                        Heritage Christian University  2199700       5        848.0    0.581     0.323         0.700     95.0     3439.0  PrivacySuppressed              12875       51048.04   
11                        Jacksonville State University   102000       5       1062.0    0.431     0.675         0.666   6491.0     6795.0        0.672868217              16624       48389.27   
12                                       Judson College   102300       5       1031.0    0.564     0.661         0.629    321.0     5545.0               0.75              12700       46522.29   
13                           University of West Alabama   102400       5        930.0    0.534     0.683         0.735   1595.0     5938.0        0.602739726              12750       40238.44   
14                                 University of Mobile   102900       5       1025.0    0.492     0.773         0.605   1764.0     5028.0        0.596045198              19750       51833.34   
15                             University of Montevallo   100400       5       1069.0    0.406     0.576         0.700   2557.0     7496.0        0.756929638              15500       59047.15   
16                          University of North Alabama   101600       5       1027.0    0.402     0.673         0.580   4944.0     7393.0        0.771867612              12750       48189.09   
17                                   Oakwood University   103300       5        923.0    0.531     0.721         0.475   1767.0     4439.0        0.530487805              26000       60906.45   
18                                   Samford University   103600       5       1162.0    0.137     0.329         0.933   2870.0     8599.0        0.881067961              16000       69602.13   
19                          University of South Alabama   105700       5       1045.0    0.400     0.575         0.782   9232.0     7179.0        0.695334458              14250       51919.71   
20                                  Spring Hill College   104100       5       1120.0    0.350     0.684         0.413   1227.0     6278.0        0.808411215              20500       59048.32   
21                                     Stillman College   104400       5        831.0    0.682     0.729         0.566   1530.0     4770.0        0.397435897              14250       46186.31   
22                                      Troy University   104700       5       1046.0    0.432     0.625         0.919   3810.0     6336.0        0.659047619              15000       49132.68   
23                                  Tuskegee University   105000       5        955.0    0.487     0.648         0.530   2467.0     6086.0        0.765432099              25000       54155.29   
24                       University of Alaska Fairbanks   106300       8       1058.0    0.228     0.254         0.731   6359.0     9265.0        0.750677507               9500       65084.81   
25                            Alaska Pacific University   106100       8        985.0    0.276     0.485         0.389    479.0     5458.0        0.827160494              16375       70542.98   
26                       Arizona State University-Tempe   108100       6       1143.0    0.314     0.432         0.765  33985.0    10941.0        0.739734885              14500       69074.33   
27                                     Prescott College  2065300       6       1039.0    0.440     0.599         0.704    757.0     4386.0        0.787234043              14988       62739.99   
