DAY,MONTH,BELGIUM,VLAANDEREN,WALLONIE,BRUSSELS,PROVINCIE ANTWERPEN,PROVINCIE VLAAMS BRABANT,PROVINCE BRABANT WALLON,PROVINCIE WEST VLAANDEREN,PROVINCIE OOST VLAANDEREN,PROVINCE HAINAUT,PROVINCE LIEGE,PROVINCIE LIMBURG,PROVINCE LUXEMBOURG,PROVINCE NAMUR
1,1,58344,31451,15080,11813,10583,4531,1291,5116,6955,5236,6083,4266,941,1529
2,1,31106,17759,9568,3779,5020,3083,1101,3213,4031,3647,2925,2412,737,1158
3,1,31856,18394,9879,3583,5201,3048,1061,3457,4244,3679,3044,2444,739,1356
4,1,31983,18620,10068,3295,5192,3178,1057,3370,4318,3814,3041,2562,804,1352
5,1,33064,19138,10168,3758,5426,3233,1015,3481,4407,3797,3118,2591,820,1418
6,1,31504,18202,10076,3226,5201,3119,1154,3294,4230,3808,2967,2358,809,1338
7,1,31441,18155,10014,3272,5167,3151,1106,3273,4235,3664,2982,2329,815,1447
8,1,31157,17992,9974,3191,5014,3154,1115,3341,4144,3659,3014,2339,816,1370
9,1,30569,17620,9726,3223,4923,3097,1035,3170,4028,3545,3028,2402,788,1330
10,1,33389,19171,10434,3784,5445,3372,1151,3365,4434,3784,3187,2555,814,1498
11,1,30918,17794,9871,3253,5024,3062,1098,3318,4047,3653,2979,2343,772,1369
12,1,31746,18240,10161,3345,5048,3248,1069,3290,4215,3768,3068,2439,809,1447
13,1,30335,17599,9677,3059,4913,3051,1022,3159,4098,3614,2891,2378,810,1340
14,1,30909,17773,9971,3165,4973,3136,1140,3246,4046,3613,3013,2372,829,1376
15,1,33452,19262,10373,3817,5473,3385,1104,3451,4387,3813,3227,2566,789,1440
16,1,30840,17751,9920,3169,5013,3094,1072,3225,4058,3781,2905,2361,782,1380
17,1,31037,18143,9760,3134,5033,3133,1077,3196,4369,3530,2971,2412,825,1357
18,1,31434,18259,10011,3164,5093,3234,1088,3292,4184,3786,3013,2456,779,1345
19,1,30868,17842,9855,3171,4998,3095,1083,3324,4054,3689,2968,2371,767,1348
20,1,33266,19205,10365,3696,5388,3287,1146,3449,4511,3833,3165,2570,804,1417
21,1,31846,18594,10053,3199,5170,3265,1166,3457,4236,3680,2978,2466,817,1412
22,1,31418,18303,9820,3295,5176,3201,1101,3307,4194,3644,2962,2425,792,1321
23,1,31190,18134,9783,3273,5107,3266,1150,3271,4227,3548,2945,2263,805,1335
24,1,31098,18235,9755,3108,5080,3246,1095,3338,4274,3649,2891,2297,822,1298
25,1,31998,18558,10057,3383,5142,3171,1092,3358,4389,3717,3073,2498,773,1402
26,1,31676,18460,9936,3280,5126,3218,1045,3402,4268,3721,3035,2446,753,1382
27,1,31183,18120,9861,3202,5152,3165,1079,3233,4179,3718,2928,2391,759,1377
28,1,31565,18359,9906,3300,5015,3197,1118,3360,4359,3639,3073,2428,764,1312
29,1,31003,18034,9790,3179,5091,3069,1108,3312,4181,3622,2938,2381,801,1321
30,1,31483,18414,9915,3154,5013,3201,1140,3366,4331,3627,2990,2503,816,1342
31,1,31348,18257,9993,3098,5144,3139,1110,3285,4148,3734,3029,2541,819,1301
1,2,34968,20224,10556,4188,5843,3347,1129,3562,4668,3897,3424,2804,763,1343
2,2,33660,19869,10176,3615,5697,3396,1134,3531,4660,3748,3157,2585,798,1339
3,2,32000,18730,9902,3368,5282,3258,1072,3329,4293,3728,3033,2568,745,1324
4,2,32156,18829,10132,3195,5271,3212,1105,3458,4318,3774,3113,2570,802,1338
5,2,32707,18932,10280,3495,5212,3210,1107,3491,4495,3751,3174,2524,835,1413
6,2,31990,18682,10084,3224,5156,3223,1123,3418,4366,3676,3134,2519,810,1341
7,2,31382,18332,9848,3202,5284,3126,1083,3308,4207,3685,2940,2407,791,1349
8,2,31770,18552,10028,3190,5195,3224,1102,3376,4269,3815,2944,2488,804,1363
9,2,31474,18402,9892,3180,5091,3278,1046,3268,4333,3652,3059,2432,746,1389
10,2,33536,19555,10400,3581,5495,3466,1169,3508,4538,3692,3295,2548,806,1438
11,2,32030,18679,10144,3207,5175,3289,1104,3400,4309,3687,3143,2506,831,1379
12,2,32229,18744,10161,3324,5340,3259,1125,3428,4295,3761,3151,2422,803,1321
13,2,30905,17894,9838,3173,4995,3124,1096,3243,4089,3691,2931,2443,808,1312
14,2,32338,19067,10098,3173,5387,3346,1131,3428,4466,3828,3031,2440,772,1336
15,2,32795,18980,10240,3575,5257,3378,1186,3352,4394,3755,3136,2599,826,1337
16,2,31550,18417,9978,3155,5175,3268,1105,3291,4216,3742,2955,2467,809,1367
17,2,31675,18553,9898,3224,5244,3159,1091,3415,4324,3694,2881,2411,858,1374
18,2,31965,18772,9979,3214,5260,3241,1082,3458,4325,3672,3052,2488,822,1351
19,2,31271,18340,9860,3071,5191,3214,1122,3266,4177,3606,2932,2492,812,1388
20,2,33143,19248,10353,3542,5307,3423,1178,3455,4527,3785,3170,2536,889,1331
